panel,series,Rg_over_lc,Re_over_lc,position_class
10 C,model,0.12912,0.19097,0
10 C,model,0.169334,0.314943,3
10 C,model,0.137909,0.0498932,2
10 C,model,0.071299,0.116244,0
10 C,model,0.11623,0.0589692,0
10 C,model,0.179583,0.23544,3
10 C,model,0.102397,0.159069,0
10 C,model,0.148128,0.362089,0
10 C,model,0.0942972,0.184614,0
10 C,model,0.089696,0.160618,0
10 C,model,0.122822,0.198545,0
10 C,model,0.162234,0.26395,3
10 C,model,0.138138,0.0361456,2
10 C,model,0.0691253,0.116902,0
10 C,model,0.119924,0.069619,0
10 C,model,0.181045,0.247903,3
10 C,model,0.099398,0.163246,0
10 C,model,0.157038,0.387812,0
10 C,model,0.0916289,0.216412,0
10 C,model,0.0916832,0.164986,0
10 C,model,0.10967,0.195572,0
10 C,model,0.151907,0.188171,3
10 C,model,0.142168,0.120067,2
10 C,model,0.0690508,0.0822086,0
10 C,model,0.120247,0.0642543,0
10 C,model,0.178134,0.251279,3
10 C,model,0.0931413,0.122531,0
10 C,model,0.162461,0.469015,0
10 C,model,0.0942198,0.220531,0
10 C,model,0.0991266,0.138826,0
10 C,model,0.101268,0.192147,0
10 C,model,0.143999,0.118059,3
10 C,model,0.151661,0.161346,2
10 C,model,0.0688131,0.138057,0
10 C,model,0.118826,0.0449557,0
10 C,model,0.172639,0.250981,3
10 C,model,0.090665,0.131932,0
10 C,model,0.160871,0.486997,0
10 C,model,0.104862,0.266281,0
10 C,model,0.103746,0.138058,0
10 C,model,0.0977992,0.184357,0
10 C,model,0.134693,0.0445112,3
10 C,model,0.159704,0.217697,2
10 C,model,0.0696554,0.052118,0
10 C,model,0.120749,0.0565891,0
10 C,model,0.164358,0.227,3
10 C,model,0.0920011,0.0506063,0
10 C,model,0.165413,0.543891,0
10 C,model,0.0975931,0.247725,0
10 C,model,0.104644,0.174692,0
10 C,model,0.0892254,0.194613,0
10 C,model,0.136519,0.0336973,3
10 C,model,0.177193,0.335508,2
10 C,model,0.0730284,0.0406788,0
10 C,model,0.114119,0.0672223,0
10 C,model,0.160885,0.234853,3
10 C,model,0.103174,0.0923639,0
10 C,model,0.165443,0.509944,0
10 C,model,0.0915336,0.194727,0
10 C,model,0.109356,0.150741,0
10 C,model,0.0918936,0.182999,0
10 C,model,0.140398,0.0529414,3
10 C,model,0.189889,0.394733,2
10 C,model,0.0780172,0.0843341,0
10 C,model,0.117622,0.121877,0
10 C,model,0.145174,0.151098,3
10 C,model,0.104255,0.122514,0
10 C,model,0.162668,0.508056,0
10 C,model,0.0934428,0.200231,0
10 C,model,0.110962,0.155716,0
10 C,model,0.0910824,0.126799,0
10 C,model,0.142912,0.109683,3
10 C,model,0.204131,0.462638,2
10 C,model,0.0836768,0.116593,0
