panel,series,contour_length_mm,tau_tr_min
30 C,living worms,26.18,0.166667
30 C,living worms,26.18,1.03333
30 C,living worms,26.18,1.86667
30 C,living worms,29.07,4.96667
30 C,living worms,29.07,1.63333
30 C,living worms,29.07,0.366667
30 C,living worms,29.07,0.4
30 C,living worms,29.07,0.866667
30 C,living worms,29.07,9.83333
30 C,living worms,29.07,1.06667
30 C,living worms,29.07,5.66667
30 C,living worms,29.07,0.633333
30 C,living worms,29.07,0.4
30 C,living worms,29.07,0.8
30 C,living worms,29.07,2.9
30 C,living worms,29.07,0.366667
30 C,living worms,29.07,0.266667
30 C,living worms,29.07,0.233333
30 C,living worms,29.07,0.233333
30 C,living worms,29.07,0.466667
30 C,living worms,29.07,2.03333
30 C,living worms,29.07,0.5
30 C,living worms,29.07,0.166667
30 C,living worms,29.07,5.66667
30 C,living worms,29.07,2
30 C,living worms,29.07,0.166667
30 C,living worms,29.07,4.83333
30 C,living worms,29.07,1.1
30 C,living worms,29.07,2.46667
30 C,living worms,29.07,3.06667
30 C,living worms,29.07,0.466667
30 C,living worms,29.07,3.26667
30 C,living worms,29.07,6.36667
30 C,living worms,29.07,0.6
30 C,living worms,29.07,0.166667
30 C,living worms,29.07,1.8
30 C,living worms,33.2433,2.7
30 C,living worms,33.2433,2.26667
30 C,living worms,33.2433,0.933333
30 C,living worms,33.2433,6.1
30 C,living worms,33.2433,0.2
30 C,living worms,33.2433,1.73333
30 C,living worms,33.2433,1.93333
30 C,living worms,33.2433,0.5
30 C,living worms,33.2433,0.3
30 C,living worms,33.2433,7.96667
30 C,living worms,33.2433,1.5
30 C,living worms,33.2433,5.73333
30 C,living worms,33.2433,0.433333
30 C,living worms,33.2433,0.5
30 C,living worms,33.2433,0.533333
30 C,living worms,33.2433,1.5
30 C,living worms,33.2433,0.6
30 C,living worms,33.2433,7.96667
30 C,living worms,33.2433,3.13333
30 C,living worms,33.2433,5.46667
30 C,living worms,33.2433,2.76667
30 C,living worms,33.2433,0.5
30 C,living worms,33.2433,0.166667
30 C,living worms,33.2433,0.533333
30 C,living worms,33.2433,0.3
30 C,living worms,33.2433,0.4
30 C,living worms,33.2433,0.666667
30 C,living worms,33.2433,0.166667
30 C,living worms,33.2433,3.06667
30 C,living worms,33.2433,2.56667
30 C,living worms,33.2433,0.5
30 C,living worms,33.2433,5.4
30 C,living worms,33.2433,2.16667
30 C,living worms,33.2433,5.3
30 C,living worms,33.2433,3.13333
30 C,living worms,35.156,0.2
30 C,living worms,35.156,0.733333
30 C,living worms,35.156,7.5
30 C,living worms,35.156,0.166667
30 C,living worms,35.156,3.5
30 C,living worms,35.156,3.1
30 C,living worms,35.156,5.53333
