series,x_mm,y_mm,counts
living worms all temperatures,3.045,-0.105,71
living worms all temperatures,3.255,-0.105,61
living worms all temperatures,3.465,-0.105,76
living worms all temperatures,3.675,-0.105,103
living worms all temperatures,3.885,-0.105,104
living worms all temperatures,-3.885,0.105,68
living worms all temperatures,-3.675,0.105,48
living worms all temperatures,-3.465,0.105,59
living worms all temperatures,-3.255,0.105,44
living worms all temperatures,-3.045,0.105,51
living worms all temperatures,-2.835,0.105,62
living worms all temperatures,-2.625,0.105,52
living worms all temperatures,-2.415,0.105,56
living worms all temperatures,-2.205,0.105,43
living worms all temperatures,-1.995,0.105,52
living worms all temperatures,-1.785,0.105,54
living worms all temperatures,-1.575,0.105,65
living worms all temperatures,-1.365,0.105,41
living worms all temperatures,-1.155,0.105,25
living worms all temperatures,-0.945,0.105,31
living worms all temperatures,-0.735,0.105,37
living worms all temperatures,-0.525,0.105,76
living worms all temperatures,-0.315,0.105,53
living worms all temperatures,-0.105,0.105,58
living worms all temperatures,0.105,0.105,45
living worms all temperatures,0.315,0.105,47
living worms all temperatures,0.525,0.105,48
living worms all temperatures,0.735,0.105,42
living worms all temperatures,0.945,0.105,34
living worms all temperatures,1.155,0.105,41
living worms all temperatures,1.365,0.105,47
living worms all temperatures,1.575,0.105,30
living worms all temperatures,1.785,0.105,32
living worms all temperatures,1.995,0.105,43
living worms all temperatures,2.205,0.105,45
living worms all temperatures,2.415,0.105,63
living worms all temperatures,2.625,0.105,47
living worms all temperatures,2.835,0.105,53
living worms all temperatures,3.045,0.105,48
living worms all temperatures,3.255,0.105,71
living worms all temperatures,3.465,0.105,71
living worms all temperatures,3.675,0.105,72
living worms all temperatures,3.885,0.105,111
living worms all temperatures,-3.885,0.315,48
living worms all temperatures,-3.675,0.315,60
living worms all temperatures,-3.465,0.315,52
living worms all temperatures,-3.255,0.315,56
living worms all temperatures,-3.045,0.315,52
living worms all temperatures,-2.835,0.315,62
living worms all temperatures,-2.625,0.315,58
living worms all temperatures,-2.415,0.315,32
living worms all temperatures,-2.205,0.315,46
living worms all temperatures,-1.995,0.315,53
living worms all temperatures,-1.785,0.315,51
living worms all temperatures,-1.575,0.315,50
living worms all temperatures,-1.365,0.315,42
living worms all temperatures,-1.155,0.315,50
living worms all temperatures,-0.945,0.315,37
living worms all temperatures,-0.735,0.315,28
living worms all temperatures,-0.525,0.315,42
living worms all temperatures,-0.315,0.315,70
living worms all temperatures,-0.105,0.315,49
living worms all temperatures,0.105,0.315,39
living worms all temperatures,0.315,0.315,47
living worms all temperatures,0.525,0.315,50
living worms all temperatures,0.735,0.315,52
living worms all temperatures,0.945,0.315,46
living worms all temperatures,1.155,0.315,28
living worms all temperatures,1.365,0.315,29
living worms all temperatures,1.575,0.315,45
living worms all temperatures,1.785,0.315,40
living worms all temperatures,1.995,0.315,46
living worms all temperatures,2.205,0.315,27
living worms all temperatures,2.415,0.315,36
living worms all temperatures,2.625,0.315,58
living worms all temperatures,2.835,0.315,43
living worms all temperatures,3.045,0.315,63
living worms all temperatures,3.255,0.315,57
living worms all temperatures,3.465,0.315,59
living worms all temperatures,3.675,0.315,84
living worms all temperatures,3.885,0.315,77
living worms all temperatures,-3.885,0.525,80
living worms all temperatures,-3.675,0.525,80
living worms all temperatures,-3.465,0.525,58
living worms all temperatures,-3.255,0.525,67
living worms all temperatures,-3.045,0.525,56
living worms all temperatures,-2.835,0.525,71
living worms all temperatures,-2.625,0.525,49
living worms all temperatures,-2.415,0.525,42
living worms all temperatures,-2.205,0.525,52
living worms all temperatures,-1.995,0.525,55
living worms all temperatures,-1.785,0.525,62
living worms all temperatures,-1.575,0.525,62
living worms all temperatures,-1.365,0.525,41
living worms all temperatures,-1.155,0.525,39
living worms all temperatures,-0.945,0.525,42
living worms all temperatures,-0.735,0.525,52
living worms all temperatures,-0.525,0.525,49
living worms all temperatures,-0.315,0.525,52
living worms all temperatures,-0.105,0.525,52
living worms all temperatures,0.105,0.525,36
living worms all temperatures,0.315,0.525,57
living worms all temperatures,0.525,0.525,30
living worms all temperatures,0.735,0.525,62
living worms all temperatures,0.945,0.525,50
living worms all temperatures,1.155,0.525,43
living worms all temperatures,1.365,0.525,37
living worms all temperatures,1.575,0.525,49
living worms all temperatures,1.785,0.525,32
living worms all temperatures,1.995,0.525,42
living worms all temperatures,2.205,0.525,39
living worms all temperatures,2.415,0.525,45
living worms all temperatures,2.625,0.525,69
