panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,15.0333,4.531,,,,
C,living worm 20 C,15.0667,4.361,,,,
C,living worm 20 C,15.1,5.755,,,,
C,living worm 20 C,15.1333,5.755,,,,
C,living worm 20 C,15.1667,5.517,,,,
C,living worm 20 C,15.2,4.055,,,,
C,living worm 20 C,15.2333,5.279,,,,
C,living worm 20 C,15.2667,6.061,,,,
C,living worm 20 C,15.3,6.979,,,,
C,living worm 20 C,15.3333,11.807,,,,
C,living worm 20 C,15.3667,13.677,,,,
C,living worm 20 C,15.4,12.147,,,,
C,living worm 20 C,15.4333,10.209,,,,
C,living worm 20 C,15.4667,8.798,,,,
C,living worm 20 C,15.5,8.067,,,,
C,living worm 20 C,15.5333,7.727,,,,
C,living worm 20 C,15.5667,7.319,,,,
C,living worm 20 C,15.6,7.319,,,,
C,living worm 20 C,15.6333,7.965,,,,
C,living worm 20 C,15.6667,7.149,,,,
C,living worm 20 C,15.7,6.197,,,,
C,living worm 20 C,15.7333,4.191,,,,
C,living worm 20 C,15.7667,5.007,,,,
C,living worm 20 C,15.8,4.293,,,,
C,living worm 20 C,15.8333,4.871,,,,
C,living worm 20 C,15.8667,4.361,,,,
C,living worm 20 C,15.9,3.511,,,,
C,living worm 20 C,15.9333,4.089,,,,
C,living worm 20 C,15.9667,4.667,,,,
C,living worm 20 C,16,3.511,,,,
C,living worm 20 C,16.0333,3.341,,,,
C,living worm 20 C,16.0667,3.239,,,,
C,living worm 20 C,16.1,3.545,,,,
C,living worm 20 C,16.1333,4.225,,,,
C,living worm 20 C,16.1667,4.701,,,,
C,living worm 20 C,16.2,3.273,,,,
C,living worm 20 C,16.2333,4.191,,,,
C,living worm 20 C,16.2667,3.375,,,,
C,living worm 20 C,16.3,3.001,,,,
C,living worm 20 C,16.3333,3.409,,,,
C,living worm 20 C,16.3667,3.375,,,,
C,living worm 20 C,16.4,5.517,,,,
C,living worm 20 C,16.4333,3.137,,,,
C,living worm 20 C,16.4667,3.307,,,,
C,living worm 20 C,16.5,2.831,,,,
C,living worm 20 C,16.5333,2.899,,,,
C,living worm 20 C,16.5667,2.457,,,,
C,living worm 20 C,16.6,3.205,,,,
C,living worm 20 C,16.6333,4.225,,,,
C,living worm 20 C,16.6667,5.449,,,,
C,living worm 20 C,16.7,3.46,,,,
C,living worm 20 C,16.7333,4.191,,,,
C,living worm 20 C,16.7667,4.463,,,,
C,living worm 20 C,16.8,3.987,,,,
C,living worm 20 C,16.8333,3.953,,,,
C,living worm 20 C,16.8667,3.341,,,,
C,living worm 20 C,16.9,5.211,,,,
C,living worm 20 C,16.9333,4.531,,,,
C,living worm 20 C,16.9667,4.327,,,,
C,living worm 20 C,17,4.361,,,,
C,living worm 20 C,17.0333,4.531,,,,
C,living worm 20 C,17.0667,4.293,,,,
C,living worm 20 C,17.1,5.109,,,,
C,living worm 20 C,17.1333,3.239,,,,
C,living worm 20 C,17.1667,5.109,,,,
C,living worm 20 C,17.2,5.653,,,,
C,living worm 20 C,17.2333,4.973,,,,
C,living worm 20 C,17.2667,3.817,,,,
C,living worm 20 C,17.3,3.239,,,,
C,living worm 20 C,17.3333,4.939,,,,
C,living worm 20 C,17.3667,8.339,,,,
C,living worm 20 C,17.4,9.427,,,,
C,living worm 20 C,17.4333,10.515,,,,
C,living worm 20 C,17.4667,10.685,,,,
C,living worm 20 C,17.5,9.563,,,,
C,living worm 20 C,17.5333,10.719,,,,
C,living worm 20 C,17.5667,11.909,,,,
C,living worm 20 C,17.6,13.235,,,,
C,living worm 20 C,17.6333,14.867,,,,
C,living worm 20 C,17.6667,17.179,,,,
C,living worm 20 C,17.7,19.831,,,,
C,living worm 20 C,17.7333,23.469,,,,
C,living worm 20 C,17.7667,26.495,,,,
C,living worm 20 C,17.8,27.379,,,,
C,living worm 20 C,17.8333,32.275,,,,
C,living worm 20 C,17.8667,36.049,,,,
C,living worm 20 C,17.9,40.945,,,,
C,living worm 20 C,17.9333,45.535,,,,
C,living worm 20 C,17.9667,50.159,,,,
C,living worm 20 C,18,51.587,,,,
C,living worm 20 C,18.0333,55.021,,,,
C,living worm 20 C,18.0667,56.653,,,,
C,living worm 20 C,18.1,54.987,,,,
C,living worm 20 C,18.1333,54.545,,,,
C,living worm 20 C,18.1667,55.429,,,,
C,living worm 20 C,18.2,55.055,,,,
C,living worm 20 C,18.2333,53.678,,,,
C,living worm 20 C,18.2667,53.355,,,,
C,living worm 20 C,18.3,52.811,,,,
C,living worm 20 C,18.3333,52.913,,,,
C,living worm 20 C,18.3667,53.117,,,,
C,living worm 20 C,18.4,53.253,,,,
C,living worm 20 C,18.4333,55.429,,,,
C,living worm 20 C,18.4667,55.395,,,,
C,living worm 20 C,18.5,54.749,,,,
C,living worm 20 C,18.5333,54.511,,,,
C,living worm 20 C,18.5667,54.273,,,,
C,living worm 20 C,18.6,55.735,,,,
C,living worm 20 C,18.6333,54.953,,,,
