series,t_min,x_cm_mm
living worm 20 C,22.3,26.801
living worm 20 C,22.3333,24.387
living worm 20 C,22.3667,22.619
living worm 20 C,22.4,22.041
living worm 20 C,22.4333,21.701
living worm 20 C,22.4667,21.565
living worm 20 C,22.5,20.273
living worm 20 C,22.5333,19.865
living worm 20 C,22.5667,20.307
living worm 20 C,22.6,16.244
living worm 20 C,22.6333,14.187
living worm 20 C,22.6667,11.909
living worm 20 C,22.7,9.835
living worm 20 C,22.7333,8.475
living worm 20 C,22.7667,7.183
living worm 20 C,22.8,6.673
living worm 20 C,22.8333,5.84
living worm 20 C,22.8667,6.469
living worm 20 C,22.9,6.061
living worm 20 C,22.9333,6.367
living worm 20 C,22.9667,6.605
living worm 20 C,23,6.469
living worm 20 C,23.0333,7.047
living worm 20 C,23.0667,6.605
living worm 20 C,23.1,7.863
living worm 20 C,23.1333,7.931
living worm 20 C,23.1667,7.319
living worm 20 C,23.2,7.149
living worm 20 C,23.2333,8.101
living worm 20 C,23.2667,6.741
living worm 20 C,23.3,6.299
living worm 20 C,23.3333,4.701
living worm 20 C,23.3667,4.701
living worm 20 C,23.4,4.497
living worm 20 C,23.4333,4.565
living worm 20 C,23.4667,4.395
living worm 20 C,23.5,4.055
living worm 20 C,23.5333,5.109
living worm 20 C,23.5667,4.735
living worm 20 C,23.6,3.953
living worm 20 C,23.6333,5.823
living worm 20 C,23.6667,5.687
living worm 20 C,23.7,4.429
living worm 20 C,23.7333,3.953
living worm 20 C,23.7667,3.613
living worm 20 C,23.8,3.953
living worm 20 C,23.8333,4.361
living worm 20 C,23.8667,4.225
living worm 20 C,23.9,3.647
living worm 20 C,23.9333,2.831
living worm 20 C,23.9667,3.239
living worm 20 C,24,2.899
living worm 20 C,24.0333,4.667
living worm 20 C,24.0667,4.055
living worm 20 C,24.1,3.375
living worm 20 C,24.1333,4.021
living worm 20 C,24.1667,4.089
living worm 20 C,24.2,2.763
living worm 20 C,24.2333,2.593
living worm 20 C,24.2667,5.347
living worm 20 C,24.3,5.279
living worm 20 C,24.3333,4.497
living worm 20 C,24.3667,5.347
living worm 20 C,24.4,3.239
living worm 20 C,24.4333,3.749
living worm 20 C,24.4667,4.089
living worm 20 C,24.5,4.225
living worm 20 C,24.5333,4.327
living worm 20 C,24.5667,4.463
living worm 20 C,24.6,4.599
living worm 20 C,24.6333,4.463
living worm 20 C,24.6667,4.599
living worm 20 C,24.7,4.089
living worm 20 C,24.7333,4.361
living worm 20 C,24.7667,4.021
living worm 20 C,24.8,4.565
living worm 20 C,24.8333,5.007
living worm 20 C,24.8667,3.103
living worm 20 C,24.9,2.321
living worm 20 C,24.9333,3.953
living worm 20 C,24.9667,4.225
living worm 20 C,25,3.239
living worm 20 C,25.0333,3.001
living worm 20 C,25.0667,2.661
living worm 20 C,25.1,2.627
living worm 20 C,25.1333,2.321
living worm 20 C,25.1667,2.457
living worm 20 C,25.2,4.157
living worm 20 C,25.2333,5.075
living worm 20 C,25.2667,5.551
living worm 20 C,25.3,5.177
living worm 20 C,25.3333,4.905
living worm 20 C,25.3667,5.381
living worm 20 C,25.4,4.565
living worm 20 C,25.4333,3.919
living worm 20 C,25.4667,4.973
living worm 20 C,25.5,5.313
living worm 20 C,25.5333,5.619
living worm 20 C,25.5667,5.585
living worm 20 C,25.6,5.007
living worm 20 C,25.6333,3.579
living worm 20 C,25.6667,5.109
living worm 20 C,25.7,5.857
living worm 20 C,25.7333,8.373
living worm 20 C,25.7667,11.331
living worm 20 C,25.8,16.159
living worm 20 C,25.8333,17.315
living worm 20 C,25.8667,20.681
living worm 20 C,25.9,19.151
living worm 20 C,25.9333,19.236
living worm 20 C,25.9667,20.103
living worm 20 C,26,22.041
living worm 20 C,26.0333,27.141
living worm 20 C,26.0667,32.003
living worm 20 C,26.1,33.941
living worm 20 C,26.1333,36.661
living worm 20 C,26.1667,40.401
living worm 20 C,26.2,43.427
living worm 20 C,26.2333,44.124
living worm 20 C,26.2667,49.955
living worm 20 C,26.3,50.465
living worm 20 C,26.3333,51.893
living worm 20 C,26.3667,51.995
living worm 20 C,26.4,51.757
living worm 20 C,26.4333,51.043
living worm 20 C,26.4667,52.896
living worm 20 C,26.5,54.103
living worm 20 C,26.5333,53.899
living worm 20 C,26.5667,52.233
living worm 20 C,26.6,52.641
living worm 20 C,26.6333,52.505
living worm 20 C,26.6667,52.114
living worm 20 C,26.7,54.681
living worm 20 C,26.7333,56.789
living worm 20 C,26.7667,59.849
living worm 20 C,26.8,62.603
living worm 20 C,26.8333,63.623
living worm 20 C,26.8667,66.377
living worm 20 C,26.9,67.329
living worm 20 C,26.9333,67.533
living worm 20 C,26.9667,69.505
living worm 20 C,27,74.095
living worm 20 C,27.0333,77.835
living worm 20 C,27.0667,77.903
living worm 20 C,27.1,79.603
living worm 20 C,27.1333,79.773
living worm 20 C,27.1667,77.937
living worm 20 C,27.2,77.155
living worm 20 C,27.2333,79.467
living worm 20 C,27.2667,79.739
living worm 20 C,27.3,81.235
living worm 20 C,27.3333,82.187
living worm 20 C,27.3667,86.165
living worm 20 C,27.4,87.763
living worm 20 C,27.4333,90.143
living worm 20 C,27.4667,91.503
living worm 20 C,27.5,89.191
living worm 20 C,27.5333,88.443
living worm 20 C,27.5667,87.865
living worm 20 C,27.6,87.355
living worm 20 C,27.6333,86.981
living worm 20 C,27.6667,86.743
living worm 20 C,27.7,86.369
living worm 20 C,27.7333,85.689
living worm 20 C,27.7667,85.791
living worm 20 C,27.8,86.063
living worm 20 C,27.8333,87.083
living worm 20 C,27.8667,88.307
living worm 20 C,27.9,88.341
living worm 20 C,27.9333,90.449
living worm 20 C,27.9667,91.469
living worm 20 C,28,91.741
living worm 20 C,28.0333,91.469
living worm 20 C,28.0667,91.979
living worm 20 C,28.1,92.387
living worm 20 C,28.1333,92.693
living worm 20 C,28.1667,90.857
living worm 20 C,28.2,90.823
living worm 20 C,28.2333,91.027
living worm 20 C,28.2667,91.027
living worm 20 C,28.3,91.537
living worm 20 C,28.3333,91.741
living worm 20 C,28.3667,90.653
living worm 20 C,28.4,91.469
living worm 20 C,28.4333,91.571
living worm 20 C,28.4667,92.217
living worm 20 C,28.5,92.761
living worm 20 C,28.5333,92.727
living worm 20 C,28.5667,92.217
living worm 20 C,28.6,90.755
living worm 20 C,28.6333,90.585
living worm 20 C,28.6667,86.777
living worm 20 C,28.7,85.689
living worm 20 C,28.7333,82.493
living worm 20 C,28.7667,82.935
living worm 20 C,28.8,82.391
living worm 20 C,28.8333,82.663
living worm 20 C,28.8667,81.235
living worm 20 C,28.9,80.572
living worm 20 C,28.9333,79.705
living worm 20 C,28.9667,78.617
living worm 20 C,29,72.633
living worm 20 C,29.0333,69.947
living worm 20 C,29.0667,65.867
living worm 20 C,29.1,61.957
living worm 20 C,29.1333,62.161
living worm 20 C,29.1667,60.903
living worm 20 C,29.2,60.801
living worm 20 C,29.2333,60.767
living worm 20 C,29.2667,61.277
living worm 20 C,29.3,60.835
living worm 20 C,29.3333,60.461
living worm 20 C,29.3667,60.087
living worm 20 C,29.4,59.883
living worm 20 C,29.4333,59.509
living worm 20 C,29.4667,59.101
